Població a 1 de gener. Per sexe i grups d'edat. Total. Comarques, àmbits i províncies
2003
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200300&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
Alt Camp;5691;4332;11611;8330;6975;36939
Alt Empordà;16466;11713;33571;23879;18929;104558
Alt Penedès;13321;9772;28418;18817;14539;84867
Alt Urgell;2525;2072;6073;4481;4365;19516
Alta Ribagorça;476;343;1203;794;771;3587
Anoia;15565;11829;31519;21757;16289;96959
Bages;22616;17920;49880;36332;32786;159534
Baix Camp;25017;18009;49672;34287;24118;151103
Baix Ebre;9782;8011;20470;15776;14602;68641
Baix Empordà;16828;11993;34814;24942;18874;107451
Baix Llobregat;114898;84382;254562;166496;92627;712965
Baix Penedès;10764;7520;21974;16532;10162;66952
Barcelonès;273948;231767;693813;524693;426613;2150834
Berguedà;4736;4104;10983;9068;9691;38582
Cerdanya;2220;1705;5125;3432;2605;15087
Conca de Barberà;2674;2124;5682;4200;4514;19194
Garraf;18411;12188;39685;26665;16862;113811
Garrigues;2379;1984;5274;4462;5197;19296
Garrotxa;6848;5015;14582;11183;11230;48858
Gironès;24620;17950;49161;31160;22629;145520
Maresme;60244;43362;125355;86645;54008;369614
Montsià;8535;7029;18562;13016;11965;59107
Noguera;4716;3740;10374;7787;8587;35204
Osona;21233;15319;42905;29540;24171;133168
Pallars Jussà;1437;1157;3453;2726;3646;12419
Pallars Sobirà;866;561;2127;1376;1478;6408
Pla d'Urgell;4403;3372;9573;6633;6581;30562
Pla de l'Estany;4392;3045;8161;5617;4743;25958
Priorat;1054;847;2599;2170;2603;9273
Ribera d'Ebre;2939;2507;6077;5097;5379;21999
Ripollès;3005;2737;7485;6467;6328;26022
Segarra;2917;2135;6391;4001;4109;19553
Segrià;25776;19479;55087;38183;31476;170001
Selva;19981;13939;41768;28530;19441;123659
Solsonès;1784;1303;3732;2721;2478;12018
Tarragonès;30652;23026;64271;43912;28156;190017
Terra Alta;1458;1251;3174;2956;3564;12403
Urgell;4661;3502;9919;6770;7112;31964
Val d'Aran;1302;952;3029;1762;1105;8150
Vallès Occidental;129068;91480;264992;171152;106541;763233
Vallès Oriental;56314;39969;118806;74415;44250;333754
Catalunya;976522;745445;2175912;1528762;1132099;6558740
Metropolità;666204;512920;1525631;1068883;755440;4529078
Comarques Gironines;92140;66392;189542;131778;102174;582026
Camp de Tarragona;75852;55858;155809;109431;76528;473478
Terres de l'Ebre;22714;18798;48283;36845;35510;162150
Ponent;44852;34212;96618;67836;63062;306580
Comarques Centrals;65934;50475;139019;99418;85415;440261
Alt Pirineu i Aran;8826;6790;21010;14571;13970;65167
Barcelona;730312;562015;1660749;1165479;838108;4956663
Girona;94016;67876;193802;134526;104241;594461
Lleida;53628;40898;117269;82481;77680;371956
Tarragona;98566;74656;204092;146276;112070;635660
Població a 1 de gener. Per sexe i grups d'edat. Homes. Comarques, àmbits i províncies
2003
Font: Idescat. Estimacions de població.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15233&t=200300&tema=XIFPO
;0-15;16-24;25-44;45-64;65 i més;Total
